Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities
Devendra Maithil,IND,0,Post Graduate,41,2150478,0
Dharmpal Singh,BJP, 1 ,Post Graduate,69,29367373,0
Jeeraj Singh,IND,0,Graduate Professional,48,25500000,543294
Laxman Prasad,BSP, 1 ,12th Pass,66,7424000,350000
Makkhan,Bahujan Mukti Party,0,12th Pass,42,4696801,0
Mueenuddin,Aazad Samaj Party (Kanshi Ram), 1 ,Post Graduate,52,8870000,0
Omveer,INC, 6 ,Graduate,42,66035000,2020418
Pt. Radha Krishan Sharma,SP,0,Graduate,55,44252222,0
Ram Singh Maurya,AAP,0,12th Pass,56,2130000,0
Shivadas Verma,Vikassheel Insaan Party,0,10th Pass,41,560000,0
Adya Sharan Chaudhary,IND,0,Post Graduate,72,48079043,0
Ajay Singh,BJP, 2 ,Post Graduate,50,139897731,7063415
Chandramani (Sudama Ji),IND,0,Post Graduate,41,16670889,0
Deep Kumar,Vikassheel Insaan Party,0,Graduate,31,3391651,3549
Laboni Singh,INC,0,Post Graduate,57,13943000,2000000
Raj Kishor Singh,BSP, 3 ,Graduate,53,118137308,0
Shravan Kumar,IND,0,Graduate,34,11000,0
Suresh Kumar Singh,AAP,0,12th Pass,63,24135628,0
Tarayambak Nath,SP, 5 ,Graduate,63,18639187,2790494
Ambika Singh,INC,0,Graduate Professional,75,20425000,0
Chandra Prakash Shukla,BJP,0,Graduate,53,119982920,8113578
Digvijay Singh,IND, 12 ,Graduate,37,2624437,0
Hridayram,Bahujan Mukti Party,0,Graduate Professional,33,14000,0
Kapil Dev,IND, 1 ,12th Pass,53,546000,100000
Kavindra Chaudhary,SP, 1 ,Graduate,29,154435178,21717841
Laxman,Log Party,0,8th Pass,36,2388800,0
Om Prakash,Atal Janshakti Party,0,8th Pass,37,238000,0
Ram Ji,IND, 1 ,Graduate,47,4159646,150000
Sanjay Kumar,AAP,0,Post Graduate,49,3201148,0
Sunil,Jan Adhikar Party,0,Graduate,34,2163721,0
Zaheer Ahmad,BSP,0,Graduate,38,25686209,0
Ajay Pratap,IND,0,Graduate Professional,32,2006621,0
Ashok Kumar,BSP,0,8th Pass,51,97809891,44496000
Basant Chaudhary,INC, 1 ,8th Pass,49,176304817,86699219
Jai Govind Pandey,Akhil Bharatiya Socialist Party,0,Post Graduate,52,21089000,1000000
Laxmikant Bhatt,IND,0,12th Pass,39,1115000,0
Mahfooj Ali,Peace Party, 1 ,Post Graduate,34,16753000,945000
Mohd. Kayoom,Atal Janshakti Party,0,Graduate,30,2756000,0
Neelam,Log Party,0,Post Graduate,62,35240000,0
Nihaluddin,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,63,11104240,0
Prem Kumar,IND,0,10th Pass,27,1169115,0
Pushkaraditya Singh,AAP, 1 ,Graduate,25,15674317,3400921
Rajendra Prasad Chaudhary,SP, 1 ,Post Graduate,61,111758532,48622340
Sangeeta Devi Alias Sangeeta Pratap Jaiswal,BJP,0,Graduate,49,15776141,5000000
Sunil Kumar,IND,0,Literate,49,172000,0
Alok Ranjan Verma,BSP,0,Graduate Professional,30,9559111,769890
Ambrish Dev Gupta (Sonu),Bharat Mahaparivar Party,0,Graduate,40,98494,50000
Arbabul Haq,Aazad Samaj Party (Kanshi Ram),0,10th Pass,42,9341666,0
Babita,IND,0,Post Graduate,46,24724024,761047
Dayaram Chaudhary,BJP, 2 ,12th Pass,68,70254000,19334292
Devendra Kumar Srivastava,INC, 3 ,Post Graduate,63,10594927,0
Gyan Prakash Tripathi,Atal Janshakti Party,0,Post Graduate,33,21933000,300000
Mahendra Nath Yadav,SP, 13 ,Post Graduate,45,13440065,0
Pradeep Kumar,Bahujan Mukti Party,0,Literate,46,567000,0
Ram Prasad,Janhit Kisan Party, 1 ,Graduate Professional,52,5125000,976000
Ramesh Kumar Singh,AAP,0,Graduate,66,1445526,0
Brijesh Kumar,INC,0,12th Pass,27,5915232,1185000
Dudhram,Suheldev Bharatiya Samaj Party, 4 ,Literate,61,39958771,8100000
Laxmi Chandra Kharvar,BSP,0,Graduate,39,14374581,0
Purnima,Jan Adhikar Party,0,Post Graduate,38,3515980,1213553
Ram Karan,Bahujan Mukti Party,0,12th Pass,70,5432000,0
Ravi,BJP,0,Graduate,45,36732937,0
Suresh,AAP,0,Literate,59,283000,0
Vijay Vikram,IND, 1 ,12th Pass,26,1048063,0
Bindu,IND,0,5th Pass,54,34374468,811000
Diyam Singh (Gaharwar),JD(U), 1 ,Graduate,26,1375000,0
Harishankar (Dada Chauhan),BSP,0,12th Pass,57,34374458,811000
Kaladhar,AAP,0,12th Pass,57,8980000,0
Mahesh Kumar,Swarna Bharat Party,0,Graduate,30,1860000,0
Pankaj Kumar Dwivedi,Lok Dal,0,Graduate,31,1384500,50000
Ravindra Nath Tripathi,BJP, 3 ,Graduate,59,59661945,126507
Ravishankar,All India Majlis-E-Ittehadul Muslimeen, 3 ,8th Pass,39,23489728,0
Shweta Kumari,Jan Adhikar Party,0,Post Graduate,29,2509145,721000
Shyam Pal,Rashtriya Samaj Paksha,0,10th Pass,32,334242,0
Vasim Ansari,INC, 1 ,12th Pass,37,1102000,288350
Zahid,SP, 3 ,12th Pass,57,16218587,0
Dharmraj,Swarna Bharat Party,0,10th Pass,39,2221000,0
Ram Kishore Bind,SP, 1 ,Post Graduate,74,44306130,0
Ramdhani,Bhartiya Manav Samaj Party,0,12th Pass,51,450000,0
Suresh Chandra Mishra,INC, 1 ,Graduate Professional,59,4065434,701172
Svatantr Kumar,Anjaan Aadmi Party,0,8th Pass,34,2708000,0
Upendra Kumar Singh,BSP,0,Graduate,56,28100000,0
Vijay Mishra,Pragatisheel Manav Samaj Party, 24 ,Graduate,68,86628011,25646176
Vipul Dubey,Nirbal Indian Shoshit Hamara Aam Dal, 4 ,Post Graduate,40,11840572,0
Virendra Tirpathi Alias Dabang,IND,0,10th Pass,34,5290000,0
Anjani,SP,0,Graduate,33,100948494,8650000
Babita,Vikassheel Insaan Party,0,Post Graduate,32,2124750,398000
Dinanath Bhashkar,BJP, 2 ,Post Graduate,58,70099019,5245000
Kamala Shankar,BSP,0,8th Pass,71,14806220,0
Kavita Rai,AAP,0,Post Graduate,36,3397307,0
Sanjoo Devi,INC,0,Post Graduate,31,2330026,288350
Tedhai,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,67,2561000,0
Amit Kumar Singh,IND,0,Post Graduate,40,244600,0
Atul Kumar,IND,0,Graduate,26,4500000,0
Bala,INC,0,8th Pass,48,3846000,1525000
Chandraprakash Singh,BJP, 1 ,Post Graduate,49,73023386,4651028
Jahan Ara,Samajwadi Andolan Party,0,Literate,37,1110000,0
Jiyauddin,BSP,0,10th Pass,47,93740000,0
Nayyar Jahan,IND,0,5th Pass,46,95650000,0
Ram Avatar Singh,SP,0,Post Graduate,57,3502999,73000
Ravendra Kumar,Bhartiya Damitjan Party,0,Literate,39,11680000,0
Rovin Kumar Sharma,AAP,0,Graduate Professional,51,508000,0
Ajay Pal Singh,Peoples Party of India (Democratic), 1 ,12th Pass,39,2044363,400000
Kamlesh Saini,BJP,0,Post Graduate,55,27506950,0
Krishan Kumar,Aazad Samaj Party (Kanshi Ram),0,Literate,52,1240000,0
Manoj Kumar,AAP,0,12th Pass,28,213555,0
Ravindranath Tyagi,IND,0,12th Pass,74,10040000,1000000
Shakeel Ahmad,BSP,0,Graduate Professional,45,25372093,0
Swami Omvesh,SP, 6 ,Post Graduate,71,55897675,6000000
Uday Tyagi,INC,0,Graduate,28,1154590,0
Vijay Pal Singh,IND,0,12th Pass,50,4682000,995000
Yasir Arafat,All India Majlis-E-Ittehadul Muslimeen,0,Post Graduate,32,80000,0
Amiruddin,Bhartiya Jan Samman Party,0,10th Pass,37,260000,0
Archana Chaudhary,IND,0,12th Pass,44,185000,0
Gaurav Kumar,Peoples Party of India (Democratic),0,Post Graduate,37,1267636,0
Jitendra Kumar,IND,0,8th Pass,48,5336000,100000
Mamun Ul Haq Alias Adil Naeem,Aazad Samaj Party (Kanshi Ram), 9 ,10th Pass,30,3207000,0
Mohan Lal,IND,0,12th Pass,49,2700000,0
Munir Ahmed,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,48,616765,0
Neeraj Chaudhary,RLD,0,Graduate Professional,51,90205692,20579136
Ruchi Vira,BSP, 3 ,Graduate,60,258610168,0
Suchi,BJP,0,Post Graduate,32,33830301,616262
Udai Veer Singh,IND,0,Graduate,60,9509558,0
Umesh Chand,IND,0,Graduate,29,653700,0
Vineet,AAP,0,Graduate,48,17251231,2547785
Alok Kumar,Aazad Samaj Party (Kanshi Ram),0,Graduate,37,250000,0
Dilawar Singh,Peoples Party of India (Democratic),0,Post Graduate,48,2975400,0
Gita,Ambedkar Samaj Party, 3 ,Literate,46,310576,0
Meenakshi,INC,0,Post Graduate,34,8270000,0
Munshiram,RLD,0,Others,62,89656900,1178216
Omkar Singh,Rashtrawadi Janlok Party (Satya),0,10th Pass,29,71000,0
Omkumar,BJP,0,12th Pass,53,348984290,121649591
Pratap Singh,Bhartiya Damitjan Party,0,Post Graduate,65,81256815,0
Priya Singh,BSP,0,Graduate,30,19200000,0
Rishipal,IND,0,Literate,60,1385000,0
Vishal Kumar,AAP,0,Post Graduate,26,13500,0
Arun Kumar Gahlot,AAP,0,Graduate,66,350000,0
Ashok Kumar Rana,BJP,0,12th Pass,62,104725336,5919657
Hussain Ahmad,INC, 2 ,Literate,64,2095358,0
Meetan,Pichhra Samaj Party,0,Literate,51,4647812,0
Naim Ul Hasan,SP, 2 ,Graduate,51,50935573,1970919
Thakur Moolchand Chauhan,BSP, 1 ,Post Graduate,70,52993159,0
Vivek Kumar,Aazad Samaj Party (Kanshi Ram), 1 ,12th Pass,28,2201000,0
Ahasan Ali,INC,0,Graduate Professional,45,10425000,1787000
Anil Kumar,IND,0,10th Pass,38,21310000,0
Chandrapal,Loktanter Suraksha Party,0,Post Graduate,36,455000,0
Hirdesh Kumar,Peoples Party of India (Democratic),0,Graduate Professional,35,8476841,300000
Ijahar,Aazad Samaj Party (Kanshi Ram), 1 ,Literate,56,11260000,1157500
Kapil Kumar,SP, 1 ,Graduate Professional,38,19022724,0
Khoob Singh,Pichhra Samaj Party,0,Graduate,58,8476000,0
Kunwar Sushant Singh,BJP,0,Graduate,33,68684579,300000
Mohammed Ghazi,BSP, 3 ,8th Pass,46,82242080,54049832
Mohiuddin Ansari,All India Majlis-E-Ittehadul Muslimeen,0,8th Pass,42,2592051,0
Nirmal Mishra,AAP, 1 ,Graduate Professional,53,27750800,0
Padam Singh,Jan Adhikar Party,0,12th Pass,39,5010000,0
Rajiya,Bhartiya Jan Samman Party,0,Literate,41,45506,0
Shabnam Naz,IND,0,Graduate,41,82242080,54049832
Abhinay Kumar,Peoples Party of India (Democratic),0,Graduate Professional,35,1508457,0
Arjun Singh,AAP,0,Graduate,29,6885000,0
Brajpal,BSP, 1 ,Post Graduate,33,14202382,0
Brijpal Singh,IND,0,Post Graduate,49,1600000,0
Chandraveer Singh,IND,0,Graduate,52,3060000,160000
Dr Yashwant Singh,BJP, 1 ,Post Graduate,59,104125000,15628000
Lalita,All India Majlis-E-Ittehadul Muslimeen,0,Graduate,27,430000,0
Manoj Kumar Paras,SP, 4 ,12th Pass,53,41952700,2705403
Shrimati Henreita,INC,0,Graduate Professional,45,86808837,100000
Sunil Kumar,IND,0,Post Graduate,34,1324955,0
Tej Singh,Ambedkar Samaj Party, 3 ,Graduate,66,14330050,138684
Vikas Kumar,Aazad Samaj Party (Kanshi Ram),0,10th Pass,29,1270000,0
Begraj,Rashtriya mahan Gantantra Party,0,8th Pass,62,2890000,200000
Bhupendra Singh,Ambedkar Samaj Party,0,Graduate Professional,31,205000,0
Hamid Husain,IND,0,Literate,70,40000,0
Mo. Umar,Gareeb Kranti Party,0,Illiterate,72,740000,0
Mohd Danish,Aazad Samaj Party (Kanshi Ram),0,12th Pass,31,2940000,0
Mohd Saleem Ansari,INC, 1 ,8th Pass,54,30382500,0
Om Prakash,IND,0,10th Pass,47,5168000,190000
Raja Bharatendra Singh,BJP, 2 ,Graduate,58,486025676,0
Shahnawaz,IND,0,Literate,30,16399,0
Shahnawaz Alam,BSP,0,Graduate,43,25087000,0
Sharvan Rajput,AAP,0,Graduate Professional,59,3232825,0
Tasleem Ahmad,SP, 1 ,Literate,61,11000849,714769
Arjun Singh,SP, 1 ,Graduate,36,19318403,3376549
Atif Khan,INC,0,Post Graduate,47,1600000,0
Brajpal Singh,Jan Seva Sahayak Party,0,Not Given,32,560000,0
Dheerpal Kashyap,AAP,0,Graduate Professional,58,5656000,0
Ganesh,Jan Adhikar Party,0,Post Graduate,40,3529000,0
Kirpa Shankar,Bahujan Mukti Party,0,Post Graduate,42,2098610,0
Munna Lal,Rashtra Uday Party,0,Graduate Professional,52,5716000,81000
Omveer,Vikassheel Insaan Party,0,12th Pass,37,573500,0
Rachit Gupta,BSP, 2 ,Graduate Professional,42,54086812,11223000
Raghunandan,Bharatiya Subhash Sena,0,Literate,35,550000,0
Rajeev Kumar,Garib Berozgar Vikas Party, 1 ,10th Pass,36,1300000,0
Rajeev Pal,Rashtriya Samaj Paksha,0,12th Pass,26,377700,0
Rajeev Singh Alias Babbu Bhaiya,BJP,0,Post Graduate,60,244119731,10970569
Subhash Chandra Yadav,Rashtriya Parivartan Dal,0,Graduate,39,2270000,216000
Avnesh Kumar,Aazad Samaj Party (Kanshi Ram),0,Graduate,34,94493000,0
Dharmendra Kumar Singh Shakya,BJP,0,Graduate,46,42676400,300000
Himanshu Yadav,SP,0,12th Pass,28,27943989,0
Kunwar Pal,Bharatiya Subhash Sena,0,Literate,58,180000,0
Mamta Devi,INC,0,Post Graduate,30,2550000,0
Moher Singh,Jan Seva Sahayak Party,0,Not Given,69,620000,0
Muslim Khan,BSP, 2 ,Graduate,60,21502502,1500000
Ravinder Kumar Singh,Bahujan Mukti Party,0,Graduate,31,1006149,128000
Riyasat Khan,AAP,0,Illiterate,65,27460000,0
Shahid Ali,IND,0,Literate,50,2984000,700000
Sunil Kumar,Vikassheel Insaan Party,0,Graduate Professional,35,200000,0
Hem Singh,IND,0,Post Graduate,43,2754000,500000
Mahesh Chandra Gupta,BJP,0,10th Pass,64,54273463,2887978
Nandram,Bharatiya Subhash Sena,0,Literate,51,355000,0
Rais Ahmad,SP, 1 ,Graduate,60,730221928,67339542
Rajesh Kumar Singh,BSP,0,Post Graduate,59,167481943,16803868
Rajni Singh,INC,0,Post Graduate,33,7953705,1746063
Usaman Gaddi,VANCHITSAMAJ INSAAF PARTY, 4 ,Illiterate,42,2164000,0
Ankit Chauhan,INC, 2 ,Graduate,30,10033917,4627852
Chandra Prakash Maurya,SP, 2 ,Post Graduate,28,12693458,0
Deenanath,IND,0,Graduate,31,1732492,0
Devendra,AAP,0,Post Graduate,41,30597200,1195000
Harish Chandra,BJP,0,Post Graduate,44,11601444,601747
Kishor Kumar,Rashtriya Shoshit Samaj Party,0,Graduate Professional,44,1377542,50000
Mamta Shakya,BSP,0,Post Graduate,43,13394903,3127190
Mir Hadi Ali Alias Babar Miyan,Aazad Samaj Party (Kanshi Ram),0,12th Pass,44,9371355,1000000
Rajaram Shakya,IND,0,Post Graduate,41,899000,0
Shailendra Kumar Mishra,Jansatta Dal Loktantrik,0,12th Pass,39,9292858,90000
Veer Pal Singh,Rashtriya Parivartan Dal,0,12th Pass,65,38100000,0
Anil Kumar,AAP,0,10th Pass,45,1080000,0
Brajesh Yadav,SP, 1 ,12th Pass,43,80825637,1274446
Dhirendra Kumar Bhardwaj,BJP,0,Graduate Professional,59,151090485,1220066
Kunal Singh,Rashtriya Parivartan Dal,0,Graduate Professional,33,880892909,301238121
Musarrat Ali,BSP, 1 ,10th Pass,50,77817512,0
Nawab,Jan Seva Sahayak Party,0,Literate,39,730000,0
Pravesh Kumar,IND,0,Graduate,28,3507017,0
Rajveer Singh,INC,0,12th Pass,27,410000,0
Rakesh Kumar Sharma,IND,0,10th Pass,47,382000,0
Ravendra Sharma,IND,0,10th Pass,43,5163000,0
Ashutosh Maurya Alias Raju,SP,0,10th Pass,45,304793053,0
Gautam Kumar,IND,0,Graduate,31,550000,0
Hari Prakash Arya,Sanyukt Samajwadi Dal,0,Post Graduate,29,46498,0
Jaypal Singh,BSP,0,Post Graduate,48,5106077,1820000
Kushagra Sagar,BJP, 1 ,12th Pass,31,27917543,7700000
Pragya Yashoda,INC,0,12th Pass,32,1108000,0
Rekha Chandra,Jan Adhikar Party,0,Post Graduate,41,8560000,0
Surendra,IND,0,12th Pass,48,8155000,0
Ajay Kumar,Lok Dal,0,Others,48,112230205,3825000
Ajay Kumar Sharma,Loktantrik Janshakti Party,0,Graduate Professional,43,4113000,0
Amit Singh Tomar,SHS,0,Others,28,652500,0
Bablu,IND,0,10th Pass,30,1360000,0
Darshan Sharma,AAP,0,Post Graduate,34,1703000,0
Dilshad Ahmad,All India Majlis-E-Ittehadul Muslimeen,0,Literate,41,440000,0
Lakshmi Raj,BJP, 2 ,Post Graduate,39,59192901,5582157
Manveer Singh,BSP, 3 ,8th Pass,47,9783000,0
Rahul Yadav,SP, 1 ,Others,38,1006302500,0
Raju Thakur,Rashtrawadi Janlok Party (Satya), 1 ,10th Pass,29,1606100,0
Saleem Akhtar Khan,INC,0,Graduate Professional,65,12877127,0
Gita Rani Sharma,IND,0,Graduate,37,13944650,557000
Madhu Bhati,Peace Party,0,Graduate Professional,33,3108000,0
Mohammad Yunus,RLD, 6 ,Literate,51,50779584,0
Mohd. Mobin Kallu Qureshi,BSP, 4 ,Literate,43,7955000,0
Mukesh Bhardwaj,IND,0,Doctorate,43,1199000,0
Pradeep Kumar Chaudhary,BJP, 1 ,12th Pass,51,41940000,0
Satish,IND,0,10th Pass,43,2975000,0
Sonali Singh,IND,0,Post Graduate,35,1552820,0
Sushil Chaudhry,INC, 1 ,12th Pass,60,18365340,3500000
Tariq Khan,All India Minorities Front,0,Graduate Professional,32,1256000,0
Vikas Sharma,AAP,0,Post Graduate,54,3740156,0
Devendra Singh Lodhi,BJP,0,Graduate Professional,60,38000708,2849339
Dilnawaz Khan,RLD,0,Literate,44,21328871,1014000
Dinesh,IND,0,Illiterate,45,2910000,0
Gyanesh Kumar Chauhan,Hindustan Utthan Party, 1 ,8th Pass,41,1267000,50000
Km. Poonam,INC,0,Post Graduate,25,540000,0
Sangeeta,IND,0,8th Pass,25,350000,0
Satvir Singh,AAP, 2 ,12th Pass,50,31500000,687000
Sunil Kumar,BSP, 3 ,12th Pass,50,299985000,0
Anita,Vikassheel Insaan Party,0,Graduate,36,2545000,0
Bhupendra Singh,IND,0,12th Pass,43,15100000,6200000
Gajendra Singh,INC,0,Literate,51,137386296,38456887
Harendra Singh,AAP,0,Graduate,48,14803441,0
Hukam Singh,IND,0,Post Graduate,60,6567000,3230990
K.K. Sharma,NCP,0,Graduate Professional,59,46346200,0
Rameshvar,BSP, 2 ,8th Pass,60,41820000,0
Rashmi,SHS,0,12th Pass,30,2980000,0
Sakir,Aazad Samaj Party (Kanshi Ram),0,8th Pass,37,6250000,0
Sanjay Kumar Sharma,BJP,0,Post Graduate,51,35186343,6404523
Satendera Singh,IND,0,8th Pass,45,2691600,108000
Chandrapal Singh,BJP,0,8th Pass,58,64976900,0
Harish Kumar,SP, 4 ,Graduate,39,4739000,0
Karan Pal Singh,BSP,0,Post Graduate,55,98509224,900000
Manoj,AAP,0,Doctorate,45,1020000,2750000
Mukesh Kumar,IND,0,Post Graduate,42,2201602,0
Rajpal Singh,IND,0,Graduate,26,2878577,0
Sunita Devi,INC,0,Graduate,51,620000,0
Anil Kumar,BJP, 2 ,12th Pass,59,165048340,7500000
Arasad Ali,IND,0,12th Pass,46,4045000,0
Ashughosh Kumar Nirmal,AAP, 1 ,Post Graduate,48,55055000,2000000
Kiranpal Singh,RLD,0,Post Graduate,74,41519159,0
Mu Rafik,BSP, 4 ,Literate,60,14147628,0
Nishant Kumar Sharma,IND,0,Graduate,28,800000,100000
Ranavir,Bahujan Mukti Party,0,Literate,54,170000,60000
Sohan Singh,Aazad Samaj Party (Kanshi Ram),0,Literate,33,28000,0
Ziaurrahman,INC, 6 ,Graduate Professional,28,6760000,0
Anil Kumar,IND,0,Post Graduate,26,55000,0
Ankit Gautam,IND,0,Post Graduate,37,3112000,0
Anmol,IND,0,Post Graduate,32,6195000,2235000
Banshi Singh,SP, 3 ,8th Pass,58,13165000,1000000
Jaidev,AAP,0,10th Pass,62,1411298,0
Minakshi Singh,BJP, 1 ,Graduate Professional,32,14697244,3650000
Tukki,INC,0,8th Pass,40,15630000,2200000
Vinod,BSP,0,10th Pass,43,12070000,3600000
Abid Ali,All India Majlis-E-Ittehadul Muslimeen, 2 ,10th Pass,51,168000,0
Ajit Kumar Singh,Samagra Utthan Party,0,Graduate,43,8955200,0
Brijesh Kumar,Moulik Adhikar Party,0,10th Pass,38,7737501,0
Chandra Shekhar Yadav,SP, 2 ,Post Graduate,35,9950533,800000
Chhabbu,INC, 1 ,Literate,65,8420200,0
Dayanidhi Singh Yadav,Bahujan Mukti Party,0,Doctorate,54,5694133,305000
Inayatullah Khan,IND,0,Graduate,41,1490000,0
Irshad Ahamad,BSP,0,12th Pass,51,43505942,12227270
Rajoo Prasad Prajapati,Suheldev Bharatiya Samaj Party, 2 ,Graduate Professional,41,7615000,0
Ramesh Jaiswal,BJP, 2 ,Graduate Professional,44,27799354,600000
Sajid Ali,AAP,0,Graduate,42,2474000,0
Shailesh Kumar,Vikassheel Insaan Party,0,10th Pass,44,4413375,2490000
Vikesh Kumar,IND,0,12th Pass,37,255632,0
Chanda,Jan Adhikar Party,0,12th Pass,35,5226000,1650000
Devendra Pratap,INC, 7 ,Post Graduate,41,1430301,200000
Jayshyam,BSP,0,Post Graduate,42,17959000,2100000
Prabhu Narayan Yadav,SP, 6 ,Graduate,58,14290363,1964501
Ramdhari Yadav,Rashtriya Krishak Dal, 1 ,Graduate,53,13600000,50000
Ravikant Vishwakarma,Aam Janta Party (India),0,Graduate,26,61700,0
Shameem Rayin,Bahujan Mukti Party,0,Doctorate,40,6346182,3400000
Shyam Lal Sharma,Moulik Adhikar Party,0,Others,74,34307307,0
Suryamuni Tiwari,BJP, 1 ,12th Pass,48,20526000,1334180
Amit Kumar Yadav Alias Lala,BSP,0,12th Pass,41,9500000,0
Mahesh Kumar,Janta Raj Party,0,Graduate,31,220500,0
Manoj Kumar,SP, 6 ,10th Pass,48,22598468,9736696
Neelu Singh Alias Neelam Singh,IND,0,10th Pass,48,22598468,9736696
Ramesh,IND,0,12th Pass,43,57000,0
Ravindra,IND,0,8th Pass,56,6153000,0
Shahzama Khan Shahi,Jan Adhikar Party,0,Post Graduate,33,1230000,0
Siddharth Praan Baahu,Aazad Samaj Party (Kanshi Ram),0,Graduate,30,585000,0
Suresh Singh,AAP,0,Post Graduate,50,3073000,0
Sushil Singh,BJP, 1 ,Graduate,43,219793498,18928899
Vimla,INC,0,Literate,46,4774596,123822
Anil,CPI(ML)(L),0,Graduate,40,54479,0
Jainath,CPI(M),0,Literate,61,1118000,0
Jitendra Kumar,SP,0,Graduate Professional,55,48796350,11369854
Kailash,BJP,0,Graduate Professional,62,2243192,0
Kamala Shankr,IND,0,12th Pass,69,7866100,0
Ram Sumer Ram,INC,0,Post Graduate,74,5663206,0
Ramavadh Kharwar,IND,0,12th Pass,25,275000,100000
Ramkishun,Sarvjan Sanatan Party,0,Graduate,68,11837451,0
Subash Sonakar,Jan Adhikar Party, 1 ,10th Pass,48,4748000,0
Vikas Azad,BSP,0,Graduate,45,201863400,3500000
Amit Yadav,CPI, 2 ,Graduate Professional,50,3319000,0
Anil Kumar Anil Pradhan,SP, 2 ,Graduate,32,30496,47854
Avinash Chandra Tripathi,Jan Adhikar Party,0,Post Graduate,54,11190000,0
Chandrika Prasad Upadhyay,BJP, 1 ,Post Graduate,71,24958722,1224422
Hridayesh Kumar Verma,IND, 1 ,Graduate,43,5645881,140583
Nirmala,INC,0,Graduate Professional,27,570000,0
Pushpendra Singh,BSP,0,Post Graduate,55,4146633,0
Rambharosa,Bundelkhand Kranti Dal,0,Post Graduate,29,471000,0
Santoshilal Alias Pintu,AAP, 2 ,12th Pass,45,8889274,47854
Shivsharan,Ambedkar Samaj Party,0,Graduate Professional,45,6471652,0
Ali Husain,IND,0,10th Pass,59,3593070,0
Avinash Chandra Dwivedi,Apna Dal (Soneylal), 1 ,Graduate,60,162309991,4976579
Avinash Chandra Tripathi,AAP, 1 ,Graduate,73,24990446,150000
Balveer Pal,BSP, 1 ,Literate,52,10743440,170297
Pushpendra Kumar Tripathi,Bundelkhand Vikas Dal,0,Graduate Professional,31,1600000,0
Rajpratap,IND,0,Post Graduate,47,1940000,0
Ramsurat,Ambedkar Samaj Party,0,Post Graduate,28,900000,0
Ranjana Barati Lal Pandey,INC, 1 ,Graduate,40,15269400,1000000
Shivpoojan,Jan Adhikar Party,0,Post Graduate,35,360000,0
Veer Singh Patel,SP, 11 ,12th Pass,42,156991100,3957748
Akhilesh Pratap Singh,INC,0,Post Graduate,61,38068140,6600000
Amarjit Chauhan,IND,0,Post Graduate,29,385000,0
Jai Prakash Nishad,BJP,0,Graduate,64,36157663,945000
Kamlesh Kumar Chaurasiya,Bahujan Mukti Party,0,10th Pass,41,21996000,140000
Manoj Pal,Jan Adhikar Party,0,12th Pass,32,10920000,0
Narsingh Pal,Aam Janta Party (India),0,8th Pass,51,10000,0
Pradeep Yadav,IND,0,Post Graduate,46,2330000,0
Rajendra Prasad Nishad,AAP,0,12th Pass,65,3607432,0
Rambhual Nishad,SP, 8 ,Graduate,62,32269273,1736711
Rambriksh Rao,Bhartiya Sarvjan Party,0,8th Pass,72,3127000,0
Sabbir Ahamad,IND,0,12th Pass,51,3060000,0
Sanjay Paswan,Rastriya Hind Samaj Party, 1 ,8th Pass,42,242000,0
Surendra Nishad,IND,0,8th Pass,43,4739000,0
Suresh Tiwari,BSP,0,8th Pass,76,219121026,0
Ajay Pratap Singh Alias Pintu,SP, 3 ,10th Pass,48,136008708,1837195
Harinarayan Chauhan,AAP,0,Graduate Professional,51,860000,0
Omprakash Chaurasia,Rashtriya Bhagidari Party,0,Graduate,56,5840300,800000
Purooshottam Narain Singh,INC, 1 ,Graduate Professional,61,13576776,700000
Rajnikant Srivastava,Rashtravadi Vikas Party,0,Graduate Professional,60,767500,0
Raju Chauhan,Moderate Party, 1 ,Literate,40,311000,0
Ramsaran,BSP,0,Post Graduate,61,16173691,0
Sanjay Kumar Dubey,CPI, 1 ,12th Pass,50,126700,0
Sanjay Srivastav,Bhartiya Sarvjan Party,0,12th Pass,50,15470000,1100000
Shalabh Mani Tripathi,BJP,0,Doctorate,45,60535299,1038616
Vijay Juaatha,IND, 1 ,Post Graduate,51,2699473,0
Virendra Jaiswal,Jan Adhikar Party,0,8th Pass,54,11185500,0
Ambar Jahan,INC,0,Post Graduate,31,8558500,0
Brahmashankar Tripathi,SP, 2 ,Graduate Professional,70,99721664,8000000
Durga,Apna Dal United Party,0,12th Pass,71,12020000,0
Jwala Ji Prajapati,Bahujan Mukti Party,0,Post Graduate,34,727000,0
Manisha Singh,Rashtriya Ulama Council,0,Graduate,31,690000,0
Mukhtar Pasi,Hindu Samaj Party,0,Graduate,59,3405000,20000
Parvej Alam,BSP,0,Post Graduate,36,47340581,300000
Pradip,Bhartiya Shakti Chetna Party,0,12th Pass,40,416000,0
Rajkishor,Rashtravadi Vikas Party,0,Graduate,57,1320791,0
Rameshvar Sharma,Moulik Adhikar Party,0,10th Pass,53,4238650,0
Sandeep Kumar Mall,JD(U), 1 ,Post Graduate,45,15600000,0
Sanjay Srivastav,Bhartiya Sarvjan Party,0,12th Pass,50,15470000,1100000
